road_site_id,n_days,avg_daily_traffic,median_daily_traffic,std_daily_traffic,rain_mean_mm,road_name,lane,x_utm32,y_utm32,lon,lat,station_id,station_distance_km
101 1011492-0 1/ 124 +||Ellebjergvej||720881||6172777,1302,17145.837941628266,18335.0,2889.682067733282,1.988325652841782,Ellebjergvej,,720881,6172777,12.510778460503014,55.65054271410487,5735,5.742920096478545
101 1011492-0 1/ 124 -||Ellebjergvej||720881||6172777,1302,17359.69815668203,18395.5,2629.658886114648,1.988325652841782,Ellebjergvej,,720881,6172777,12.510778460503014,55.65054271410487,5735,5.742920096478545
101 1011492-0 1/ 124 T||Ellebjergvej||720881||6172777,1302,34505.536098310295,36694.5,5384.450763632509,1.988325652841782,Ellebjergvej,,720881,6172777,12.510778460503014,55.65054271410487,5735,5.742920096478545
101 1011600-0 2/ 400 +||Englandsvej||726552||6171708,883,6074.616081540204,6456.0,1128.4204223123832,1.4778029445073613,Englandsvej,,726552,6171708,12.599838269497782,55.63834706611601,6180,3.94294770962797
101 1011600-0 2/ 400 -||Englandsvej||726552||6171708,883,7816.204983012458,7981.0,939.0708510951137,1.4778029445073613,Englandsvej,,726552,6171708,12.599838269497782,55.63834706611601,6180,3.94294770962797
101 1011600-0 2/ 400 T||Englandsvej||726552||6171708,883,13890.821064552661,14265.0,1831.5214657520216,1.4778029445073613,Englandsvej,,726552,6171708,12.599838269497782,55.63834706611601,6180,3.94294770962797
101 1011908-0 0/ 66 +||Fredensbro||724290||6177606,877,18577.570125427595,19651.0,3155.381083465496,1.8329532497149372,Fredensbro,,724290,6177606,12.56879032217964,55.69228869871818,5735,0.6033948283205136
101 1011908-0 0/ 66 -||Fredensbro||724290||6177606,1141,19290.333041191938,20085.0,3213.810736826946,2.024802804557406,Fredensbro,,724290,6177606,12.56879032217964,55.69228869871818,5735,0.6033948283205136
101 1011908-0 0/ 66 T||Fredensbro||724290||6177606,899,37606.606229143494,39939.0,7017.835580788503,1.8401557285873191,Fredensbro,,724290,6177606,12.56879032217964,55.69228869871818,5735,0.6033948283205136
101 1011964-0 0/ 200 +||Frederikssundsvej||722023||6178546,1012,7421.225296442688,7609.0,932.840152640446,2.1012845849802373,Frederikssundsvej,,722023,6178546,12.533557598251525,55.70176099776455,5735,2.982842663617858
101 1011964-0 0/ 200 -||Frederikssundsvej||722023||6178546,1012,8510.025691699604,8763.5,1004.034718747843,2.1012845849802373,Frederikssundsvej,,722023,6178546,12.533557598251525,55.70176099776455,5735,2.982842663617858
101 1011964-0 0/ 200 T||Frederikssundsvej||722023||6178546,1012,15927.056324110672,16393.0,1880.5267181497584,2.1012845849802373,Frederikssundsvej,,722023,6178546,12.533557598251525,55.70176099776455,5735,2.982842663617858
101 1012068-0 0/ 299 +||Gadelandet||718787||6179412,1361,3044.69360764144,3308.0,612.5411878314713,1.983982365907421,Gadelandet,,718787,6179412,12.482854854368124,55.71099768724338,5735,6.278258133538878
101 1012068-0 0/ 299 -||Gadelandet||718787||6179412,1361,3199.1947097722264,3443.0,645.7702898146429,1.983982365907421,Gadelandet,,718787,6179412,12.482854854368124,55.71099768724338,5735,6.278258133538878
